Properties at Lat: -43.400000 Lon: 172.800000
Depth 	 Vp 	 Vs 	 Rho
-588.500000 	 2.000000 	 0.608600 	 1.905000
-591.500000 	 2.000000 	 0.608600 	 1.905000
-594.500000 	 2.000000 	 0.608600 	 1.905000
-597.500000 	 2.000000 	 0.608600 	 1.905000
-600.500000 	 2.000000 	 0.608600 	 1.905000
-603.500000 	 2.000000 	 0.608600 	 1.905000
-606.500000 	 2.000000 	 0.608600 	 1.905000
-609.500000 	 2.000000 	 0.608600 	 1.905000
-612.500000 	 2.000000 	 0.608600 	 1.905000
-615.500000 	 2.000000 	 0.608600 	 1.905000
-618.500000 	 2.000000 	 0.608600 	 1.905000
-621.500000 	 2.000000 	 0.608600 	 1.905000
-624.500000 	 2.000000 	 0.608600 	 1.905000
-627.500000 	 2.000000 	 0.608600 	 1.905000
-630.500000 	 2.000000 	 0.608600 	 1.905000
-633.500000 	 2.000000 	 0.608600 	 1.905000
-636.500000 	 2.500000 	 0.983550 	 2.093100
-639.500000 	 2.500000 	 0.983550 	 2.093100
-642.500000 	 2.500000 	 0.983550 	 2.093100
-645.500000 	 2.500000 	 0.983550 	 2.093100
-648.500000 	 2.500000 	 0.983550 	 2.093100
-651.500000 	 2.500000 	 0.983550 	 2.093100
-654.500000 	 2.500000 	 0.983550 	 2.093100
-657.500000 	 2.500000 	 0.983550 	 2.093100
-660.500000 	 2.500000 	 0.983550 	 2.093100
-663.500000 	 2.500000 	 0.983550 	 2.093100
-666.500000 	 2.500000 	 0.983550 	 2.093100
-669.500000 	 2.500000 	 0.983550 	 2.093100
-672.500000 	 2.500000 	 0.983550 	 2.093100
-675.500000 	 2.500000 	 0.983550 	 2.093100
-678.500000 	 2.500000 	 0.983550 	 2.093100
-681.500000 	 2.500000 	 0.983550 	 2.093100
-684.500000 	 2.500000 	 0.983550 	 2.093100
-687.500000 	 2.500000 	 0.983550 	 2.093100
-690.500000 	 2.500000 	 0.983550 	 2.093100
-693.500000 	 2.500000 	 0.983550 	 2.093100
